41677223,,Grouping regular expression,"Here is my questions:I have a very long string with so many values bounded by the different tags. Those values including chinese, english wording and digits. I wanna to separate by specify pattern. The following is an example:(I want to find a pattern xxxxxx where xxxx is chinese, english, digits or any notation but not include """" as those two symbol is for identify the tags)However, I found some strange for these pattern. The Pattern seems didn't recgonize the first two tag() but the second one--CODE--The output is as same as my String a ","[""String a = \""<f\\\""number\\\"">4  <f\\\""number\\\""><f$n0>14   <h85><f$n0>4    <f$n0>2 <f$n0>2 7   -<f\\\""Times-Roman\\\"">7<f\\\""number\\\"">\"";Pattern p = Pattern.compile(\""<f\\\""number\\\"">[\\\\P{sc=Han}*\\\\p{sc=Han}*[a-z]*[A-Z]*[0-9]*^<>]*<f\\\""number\\\"">\"");Matcher m = p.matcher(a);while(m.find()){    System.out.println(m.group());}""]",<java><regex>,41677425,The character class [\\P{sc=Han}*\\p{sc=Han}*[a-z]*[A-Z]*[0-9]*^]* matches 0 or more any character because \\P{sc=Han} and \\p{sc=Han} are opposite.I guess you want:--CODE--You may want to add spaces:--CODE--or:--CODE--,"[""Pattern p = Pattern.compile(\""<f\\\""number\\\"">[\\\\P{sc=Han}a-zA-Z0-9]*<f\\\""number\\\"">\"");"", ""Pattern p = Pattern.compile(\""<f\\\""number\\\"">[\\\\P{sc=Han}a-zA-Z0-9\\s]*<f\\\""number\\\"">\"");"", ""Pattern p = Pattern.compile(\""<f\\\""number\\\"">[^<]*<f\\\""number\\\"">\"");""]",Strings,"{""Regular expressions"": 1.0}"
6252462,,JTree Lazy Load Expand,"Hope you are doing fine. I have a JTree which I load lazily using database query (each node). I have a button on the screen and when user clicks the button I perform some insert/update/delete in database and then add the model back in Jtree with only root and its immediate children using an SQL (this collapses the tree and selection and all expanded nodes collapse which is expected since it is a lazily loaded tree)What I want to accomplish is before user clicks button to insert/update/delete, I read all the expanded state and save it in  memory then when I re-initialize the JTree I loop through those expanded children and call jtree.expandPath but it does not expand the nodes :(. I even added a TreeWillExpandListener and in treeWillExpand event I added code to get the children of the node from database and I see that query does get executed to get the childreen but JTree still shows up as collapsed.I really need your help. Please advise. Here is the code snippet.--CODE--Here is how I create the tree  public createTree{--CODE--Here is how I save the expanded state  Enumeration paths = jtree.getExpandedDescendants(new  TreePath(jtree.getModel().getRoot()));Do insert/update/delete DB stuffsNow re-initialize the model and add back to JTree (so it picks latestvalues from DB)Now I loop and call expand to expand the nodes that user expandedbefore he clicked the button but alas it stays collapsed :(  jtree.setModel(new StressGroupModel());            while (paths.hasMoreElements()) {--CODE--","[""package marketdatagui;import javax.swing.JFrame;import javax.swing.JScrollPane;import javax.swing.JTree;import javax.swing.tree.DefaultTreeModel;import javax.swing.tree.TreeModel;import javax.swing.tree.TreePath;import javax.swing.event.TreeModelListener;import javax.swing.event.TreeModelEvent;import javax.swing.event.EventListenerList;import java.awt.event.WindowAdapter;import java.awt.event.WindowEvent;import java.util.List;import java.util.ArrayList;import java.util.Map;import java.util.HashMap;import java.io.File;import java.io.Serializable;import java.io.ObjectOutputStream;import java.io.ObjectInputStream;public class StressGroupModel    implements TreeModel,Serializable, Cloneable{    protected EventListenerList listeners;    private static final Object LEAF = new Serializable() { };    private Map map;    private NodeData root;    private class NodeData{        String id;        String name;        public String toString(){            return name;        }    }    public StressGroupModel()    {        this.root = new NodeData();        root.id = \""Root\"";        root.name = \""Root\"";        this.listeners = new EventListenerList();        this.map = new HashMap();        List rootChildren = new ArrayList();        NodeData d1 = new NodeData();        d1.id = \""5000007\"";        d1.name = \""Name5000007\"";        rootChildren.add(d1);        NodeData d2 = new NodeData();        d2.id = \""10000054\"";        d2.name = \""Name10000054\"";        rootChildren.add(d2);        map.put(root.id, rootChildren);    }    public Object getRoot()    {        return root;    }    public boolean isLeaf(Object node)    {        return map.get(node) == LEAF;    }    public int getChildCount(Object node)    {        List children = children(node);        if (children == null)            return 0;        return children.size();    }    public Object getChild(Object parent, int index)    {        return children(parent).get(index);    }    public int getIndexOfChild(Object parent, Object child)    {        return children(parent).indexOf(child);    }    protected List children(Object node)    {        NodeData s = (NodeData)node;        Object value = map.get(s.id);        if (value == LEAF)            return null;        List children = (List)value;        if (!\""Root\"".equals(s.id))        {            String[][] dbData = getChildren(s.id);            if (dbData != null)            {                children = new ArrayList(dbData.length);                for (int i = 0; i < dbData.length; i++)                {                    NodeData d = new NodeData();                    d.id = dbData[i][1];                    d.name = dbData[i][1] + \""Name\"";                    children.add(d);                    if (\""R\"".equals(dbData[i][2]))                        map.put(d, LEAF);                }            }            else                children = new ArrayList(0);            map.put(s.id, children);               }        return children;    }    private String[][] getChildren(String parent_uid){        String sql = \""select parent_uid,child_uid,child_type from stress_groups_mapping \""              + \"" where parent_uid=\""+ parent_uid              +\"" order by parent_uid, child_uid\"";        return Util.getTableData(sql);    }    public void valueForPathChanged(TreePath path, Object value)    {    }    public void addTreeModelListener(TreeModelListener l)    {        listeners.add(TreeModelListener.class, l);    }    public void removeTreeModelListener(TreeModelListener l)    {        listeners.remove(TreeModelListener.class, l);    }    public Object clone()    {        try        {            StressGroupModel clone = (StressGroupModel)super.clone();            clone.listeners = new EventListenerList();            clone.map = new HashMap(map);            return clone;        }        catch (CloneNotSupportedException e)        {            throw new InternalError();        }    }}"", ""JFrame f = new JFrame(\""Tree Dragging Tester\"");          DefaultMutableTreeNode root = new DefaultMutableTreeNode(new Object());          jtree = new JTree(new StressGroupModel());          TreeWillExpandListener treeWillExpandListener = new TreeWillExpandListener() {                public void treeWillCollapse(TreeExpansionEvent treeExpansionEvent)                    throws ExpandVetoException {                }                public void treeWillExpand(TreeExpansionEvent treeExpansionEvent) throws ExpandVetoException {                    TreePath path = treeExpansionEvent.getPath();                    Object node =  path.getLastPathComponent();                    ((StressGroupModel)jtree.getModel()).getChildCount(node);                  }          };          jtree.addTreeWillExpandListener(treeWillExpandListener);          f.getContentPane().add(jtree, BorderLayout.CENTER);          f.setSize(300, 200);          f.setVisible(true);}"", ""            TreePath treePath = (TreePath) paths.nextElement();            try {            jtree.expandPath(treePath);            jtree.setSelectionPath(treePath);            }            catch(Exception ex){            }        }""]",<java><swing>,6268530,"I found the solution.Need an equals method and hashCode in my NodeData class, problem was internally after setting the new Model when I was trying to expand the path the equals returned false as default implementation of equals does a ""shallow compare"" i.e. only compares references, I had to override the hashCode and equals method and did a ""Deep compare"" in equals method.Thanks",[],Graphical User Interfaces,"{""A selection of Swing components"": 0.8, ""The Swing event model"": 0.85, ""Capturing an event"": 0.7}"
29532024,,Creating Grid on my Image,"I am currently trying to create a moving character in a Map using AWT and Swings.I need help on trying to create a GridLayout on my Image. I have tried using setLayout(new GridLayout()) and it just doesn't work.If possible, I would also like to incorporate a KeyListener to this.Currently, Here's my Code for the Image:--CODE--And Here's the GridLayout I had with the code, but it doesn't work:--CODE--Help is always highly appreciated!","[""public class GUI extends JFrame{    GUI(){        setLayout(new FlowLayout());        ImageIcon image1 = new ImageIcon(\""path-to-backgroundImage\"");        JLabel label1 = new JLabel(image1);        add(label1);    }    public static void main(String[] args) {        GUI gui = new GUI();        gui.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);        gui.setVisible(true);        gui.pack();        gui.setTitle(\""Map\"");    }}"", ""  setLayout(new GridLayout(ROWS, COLS));  for (int i = 0; i < ROWS; i++) {     for (int j = 0; j < COLS; j++) {        JLabel label = new JLabel(cellIcon);        add(label);     }  }""]",<java><swing><user-interface>,29542543,"--CODE--You add the label to the frame, which is reasonable:--CODE--But then you change the layout of the frame and add more labels to the frame. Your code doesn't make sense. If you want to add the grid of labels to the background image then the code should be:--CODE--If you need more help then poste a proper [SSCCE](""http://sscce.org/"") that demonstrates the problem. The random lines of code don't tell us the context of how the code is used.","[""JLabel label1 = new JLabel(image1);add(label1);"", ""setLayout(new GridLayout(ROWS, COLS));for (int i = 0; i < ROWS; i++) {   for (int j = 0; j < COLS; j++) {      JLabel label = new JLabel(cellIcon);      add(label);   }}"", ""label1.setLayout(new GridLayout(ROWS, COLS));for (int i = 0; i < ROWS; i++) {   for (int j = 0; j < COLS; j++) {      JLabel label = new JLabel(cellIcon);      label1.add(label);   }}""]",Graphical User Interfaces,"{""Controlling layout"": 0.8, ""A selection of Swing components"": 0.75}"
7231209,7232781,How to kill java Invocable,"I'm trying run some javascripts in java. I'm not sure if the scripts are correct and I'd like to kill the the invocation after a time period. This is how i run the scripts.--CODE--My idea was to run something like a deamon thread, which starts second thread with a timeout. The second thread - ScriptEvaluator runs the invocable function, described above. ScriptEvaluator implements Runnable.--CODE--Well it doesn't work. After timeout the Thread still runs.Another requirement is that only one SkriptEvaluator thread is running.EDIT: I've found something very interesting in shutdownNow(). When it doesn't guarantees the stopping of the Threads, is there guaranteed way to do that?   There are no guarantees beyond best-effort attempts to stop processing actively executing tasks. For example, typical implementations will cancel via Thread.interrupt(), so any task that fails to respond to interrupts may never terminate.Thanks in advance","[""returnMethod = invocableEngine.invokeFunction(\""main\"", input);"", ""ScriptEvaluator se = new ScriptEvaluator(r);ExecutorService executor = Executors.newSingleThreadExecutor();executor.invokeAll(Arrays.asList(Executors.callable(se)), timeout, TimeUnit.MILLISECONDS);executor.shutdownNow();""]",<java><multithreading>,7232781,"You can test how ScriptEvaluator() responds to Thread.interrupt(). If it's well written, then executor.shutdownNow() will work. If it's not, then there is no perfect solution. However, assuming your javascript doesn't interact with your main code a that much, you can use Thread.stop(). If you decide to do this, then make sure you understand [why not to use Thread.stop()](""http://download.oracle.com/javase/1,5.0/docs/guide/misc/threadPrimitiveDeprecation.html"") in general.",[],Concurrency,"{""Terminating tasks"": 0.9}"
4149,154588,How do I use Java to read from a file that is actively being written to?,"I have an application that writes information to file. This information is used post-execution to determine pass/failure/correctness of the application. I'd like to be able to read the file as it is being written so that I can do these pass/failure/correctness checks in real time.I assume it is possible to do this, but what are the gotcha's involved when using Java? If the reading catches up to the writing, will it just wait for more writes up until the file is closed, or will the read throw an exception at this point? If the latter, what do I do then? My intuition is currently pushing me towards BufferedStreams. Is this the way to go?",[],<java><file><file-io>,154588,"Could not get the example to work using FileChannel.read(ByteBuffer) because it isn't a blocking read. Did however get the code below to work:--CODE--Of course the same thing would work as a timer instead of a thread, but I leave that up to the programmer. I'm still looking for a better way, but this works for me for now.Oh, and I'll caveat this with: I'm using 1.4.2. Yes I know I'm in the stone ages still.","[""boolean running = true;BufferedInputStream reader = new BufferedInputStream(new FileInputStream( \""out.txt\"" ) );public void run() {    while( running ) {        if( reader.available() > 0 ) {            System.out.print( (char)reader.read() );        }        else {            try {                sleep( 500 );            }            catch( InterruptedException ex ) {                running = false;            }        }    }}""]",IO,"{""Typical uses of IO streams"": 2.2, ""File reading & writing utilities"": 0.85, ""Input and output"": 0.3}"
6639,,How should I load files into my Java application?,How should I load files into my Java application?,[],<java><file><loading>,6640,"The short answerUse one of these two methods:[Class.getResource(String)](""http://java.sun.com/javase/6/docs/api/java/lang/Class.html#getResource(java.lang.String)"")[Class.getResourceAsStream(String)](""http://java.sun.com/javase/6/docs/api/java/lang/Class.html#getResourceAsStream(java.lang.String)"")For example:--CODE----The long answerTypically, one would not want to load files using absolute paths. For example, don__ do this if you can help it:--CODE--This technique is not recommended for at least two reasons. First, it creates a dependency on a particular operating system, which prevents the application from easily moving to another operating system. One of Java__ main benefits is the ability to run the same bytecode on many different platforms. Using an absolute path like this makes the code much less portable.Second, depending on the relative location of the file, this technique might create an external dependency and limit the application__ mobility. If the file exists outside the application__ current directory, this creates an external dependency and one would have to be aware of the dependency in order to move the application to another machine (error prone).Instead, use the getResource() methods in the Class class. This makes the application much more portable. It  can be moved to different platforms, machines, or directories and still function correctly.","[""InputStream inputStream = YourClass.class.getResourceAsStream(\""image.jpg\"");"", ""File file = new File(\""C:\\\\Users\\\\Joe\\\\image.jpg\"");""]",IO,"{""The File class"": 0.7, ""Typical uses of IO streams"": 2.25}"
10586,10713,Small modification to an XML document using StAX,"I'm currently trying to read in an XML file, make some minor changes (alter the value of some attributes), and write it back out again.I have intended to use a StAX parser (javax.xml.stream.XMLStreamReader) to read in each event, see if it was one I wanted to change, and then pass it straight on to the StAX writer (javax.xml.stream.XMLStreamReader) if no changes were required.Unfortunately, that doesn't look to be so simple - The writer has no way to take an event type and a parser object, only methods like writeAttribute and writeStartElement. Obviously I could write a big switch statement with a case for every possible type of element which can occur in an XML document, and just write it back out again, but it seems like a lot of trouble for something which seems like it should be simple.Is there something I'm missing that makes it easy to write out a very similar XML document to the one you read in with StAX?",[],<java><xml><stax>,10713,"StAX works pretty well and is very fast. I used it in a project to parse XML files which are up to 20MB. I don't have a thorough analysis, but it was definitely faster than SAX. As for your question: The difference between streaming and event-handling, AFAIK is control. With the streaming API you can walk through your document step by step and get the contents you want. Whereas the event-based API you can only handle what you are interested in.",[],IO,"{""XML"": 2.6}"
31127,45580,Java Swing: Displaying images from within a Jar,"When running a Java app from eclipse my ImageIcon shows up just fine.But after creating a jar the path to the image obviously gets screwed up.Is there a way to extract an image from the jar at runtime so I can then open it up?  Or, is there a better way to do this?I'd like to distribute a single jar file if possible.",[],<java><swing><embedded-resource><imageicon>,45580,"To create an ImageIcon from an image file within the same jars your code is loaded:--CODE--Class.getResource returns a URL of a resource (or null!). ImageIcon has a constructors that load from a URL.To construct a URL for a resource in a jar not on your ""classpath"", see the documentation for java.net.JarURLConnection.","[""new javax.swing.ImageIcon(getClass().getResource(\""myimage.jpeg\""))""]",Graphical User Interfaces,"{""Swing basics"": 0.5, ""A selection of Swing components"": 1.7}"
31415,31432,Quick way to find a value in HTML (Java),"Using regular expressions, what is the simplest way to fetch a websites HTML and find the value inside this tag (or any attribute's value for that matter):--CODE--","[""<html>  <head>  [snip]  <meta name=\""generator\"" value=\""thevalue i'm looking for\"" />  [snip]""]",<java><html><regex>,31432,"Depends on how sophisticated of an Http request you need to build (authentication, etc). Here's one simple way I've seen used in the past. --CODE--Probably plenty of typos here to be found when compiled.(hope this wasn't homework)","[""StringBuilder html = new StringBuilder();java.net.URL url = new URL(\""http://www.google.com/\"");BufferedReader input = null;try {    input new BufferedReader(        new InputStreamReader(url.openStream()));    String htmlLine;    while ((htmlLine=input.readLine())!=null) {        html.appendLine(htmlLine);    }}finally {    input.close();}Pattern exp = Pattern.compile(    \""<meta name=\\\""generator\\\"" value=\\\""([^\\\""]*)\\\"" />\"");Matcher matcher = exp.matcher(html.toString());if(matcher.find()){    System.out.println(\""Generator: \""+matcher.group(1));}""]",Strings,"{""Regular expressions"": 2.7}"
32529,32549,How do I restrict JFileChooser to a directory?,"I want to limit my users to a directory and its sub directories but the ""Parent Directory"" button allows them to browse to an arbitrary directory.How should I go about doing that?",[],<java><swing><jfilechooser>,32549,"You can probably do this by setting your own [FileSystemView](""https://docs.oracle.com/javase/8/docs/api/javax/swing/filechooser/FileSystemView.html"").",[],Graphical User Interfaces,"{""A selection of Swing components"": 1.6, ""The Swing event model"": 0.5}"
33708,33715,"My (Java/Swing) MouseListener isn't listening, help me figure out why","So I've got a JPanel implementing MouseListener and MouseMotionListener:--CODE--The trouble is, none of these mouse functions are ever called. DisplayArea is created like this:--CODE--I am not really a Java programmer (this is part of an assignment), but I can't see anything glaringly obvious. Can someone smarter than I see anything?","[""import javax.swing.*;import java.awt.*;import java.awt.event.*;public class DisplayArea extends JPanel implements MouseListener, MouseMotionListener  {    public DisplayArea(Rectangle bounds, Display display) {        setLayout(null);        setBounds(bounds);        setOpaque(false);        setPreferredSize(new Dimension(bounds.width, bounds.height));        this.display = display;    }    public void paintComponent(Graphics g) {         Graphics2D g2 = (Graphics2D)g;         if (display.getControlPanel().Antialiasing()) {             g2.addRenderingHints(new RenderingHints(RenderingHints.KEY_ANTIALIASING, RenderingHints.VALUE_ANTIALIAS_ON));         }         g2.setColor(Color.white);         g2.fillRect(0, 0, getWidth(), getHeight());    }    public void mousePressed(MouseEvent event) {        System.out.println(\""mousePressed()\"");        mx1 = event.getX();        my1 = event.getY();    }    public void mouseReleased(MouseEvent event) {        System.out.println(\""mouseReleased()\"");        mx2 = event.getX();        my2 = event.getY();        int mode = display.getControlPanel().Mode();        switch (mode) {        case ControlPanel.LINE:             System.out.println(\""Line from \"" + mx1 + \"", \"" + my1 + \"" to \"" + mx2 + \"", \"" + my2 + \"".\"");        }    }    public void mouseEntered(MouseEvent event) {        System.out.println(\""mouseEntered()\"");    }    public void mouseExited(MouseEvent event) {        System.out.println(\""mouseExited()\"");    }    public void mouseClicked(MouseEvent event) {        System.out.println(\""mouseClicked()\"");    }    public void mouseMoved(MouseEvent event) {        System.out.println(\""mouseMoved()\"");    }    public void mouseDragged(MouseEvent event) {         System.out.println(\""mouseDragged()\"");    }    private Display display = null;    private int mx1 = -1;    private int my1 = -1;    private int mx2 = -1;    private int my2 = -1;}"", ""da = new DisplayArea(new Rectangle(CONTROL_WIDTH, 0, DISPLAY_WIDTH, DISPLAY_HEIGHT), this);""]",<java><swing><actionlistener><mouselistener>,33715,"The implements mouselistener, mousemotionlistener just allows the displayArea class to listen to some, to be defined, Swing component's mouse events. You have to explicitly define what it should be listening at. So I suppose you could add something like this to the constructor:--CODE--","[""this.addMouseListener(this);this.addMouseMotionListener(this);""]",Graphical User Interfaces,"{""The Swing event model"": 2.5, ""Capturing an event"": 1.8499999999999999}"
37551,,Multiple threads stuck in native calls (Java),"I have a problem with an application running on Fedora Core 6 with JDK 1.5.0_08.After some amount of uptime (usually some days) threads begin getting stuck in native methods.The threads are locked in something like this:--CODE--or--CODE--Especially puzzling to me is this one:--CODE--The threads remain stuck until the VM is restarted.Can anyone give me an idea as to what is happening here, what might be causing the native methods to block?The monitor entry address range at the top of each stuck thread is different. How can I figure out what is holding this monitor?Any suggestions or advice will be greatly appreciated!Thanks,David ","[""\""pool-2-thread-2571\"" prio=1 tid=0x08dd0b28 nid=0x319e waiting for monitor entry [0xb91fe000..0xb91ff7d4]at java.lang.Class.getDeclaredConstructors0(Native Method)"", ""\""pool-2-thread-2547\"" prio=1 tid=0x75641620 nid=0x1745 waiting for monitor entry [0xbc7fe000..0xbc7ff554]at sun.misc.Unsafe.defineClass(Native Method)"", ""\""HealthMonitor-10\"" daemon prio=1 tid=0x0868d1c0 nid=0x2b72 waiting for monitor entry [0xbe5ff000..0xbe5ff4d4]at java.lang.Thread.dumpThreads(Native Method)at java.lang.Thread.getStackTrace(Thread.java:1383)""]",<java><multithreading><native-methods><blocked>,152563,"My initial suspicion would be that you are experiencing some sort of class-loader realted dead lock. I imagine, that class loading needs to be synchronized at some level because class information will become available for the entire VM, not just the thread where it was initially loaded.The fact that the methods on top of the stack are native methods seems to be pure coincidence, since part of the class loading mechanism happens to implemented that way.I would investigate further what is going on class-loading wise. Maybe some thread uses the class loader to load a class from a network location which is slow/unavailable and thus blocks for a really long time, not yielding the monitor to other threads that want to load a class. Investigating the output when starting the JVM with -verbose:class might be one thing to try.",[],Concurrency,"{""Deadlock"": 1.9999999999999998, ""Terminating tasks"": 0.6000000000000001, ""Basic threading"": 0.3}"
47045,47049,Sprintf equivalent in Java,Printf got added to Java with the 1.5 release but I can't seem to find how to send the output to a string rather than a file (which is what sprintf does in C). Does anyone know how to do this? ,[],<java><string><formatting>,47049,"--CODE--See [format](""http://docs.oracle.com/javase/7/docs/api/java/lang/String.html#format(java.lang.String,%20java.lang.Object...)"") and its [syntax](""http://docs.oracle.com/javase/7/docs/api/java/util/Formatter.html#syntax"")","[""// Store the formatted string in 'result'String result = String.format(\""%4d\"", i * j);// Write the result to standard outputSystem.out.println( result );""]",Strings,"{""Formatting output"": 3.0}"
50561,50573,Programmatically determine which Java thread holds a lock,Is it possible at runtime to programmatically check the name of the Thread that is holding the lock of a given object?,[],<java><multithreading><concurrency>,50573,"You can only tell whether the current thread holds a normal lock ([Thread.holdsLock(Object)](""http://docs.oracle.com/javase/7/docs/api/java/lang/Thread.html#holdsLock%28java.lang.Object%29"")). You can't get a reference to the thread that has the lock without native code.However, if you're doing anything complicated with threading, you probably want to familiarize yourself with the java.util.concurrent packages. The [ReentrantLock](""http://docs.oracle.com/javase/7/docs/api/java/util/concurrent/locks/ReentrantLock.html"") does allow you to get its owner (but its a protected method, so you'd have to extend this). Depending on your application, it may well be that by using the concurrency packages, you'll find that you don't need to get the lock's owner after all.There are non-programmatic methods to find the lock owners, such as signaling the JVM to issue a thread dump to stderr, that are useful to determine the cause of deadlocks.",[],Concurrency,"{""Sharing resources"": 2.55}"
58939,58963,JComboBox Selection Change Listener?,"I'm trying to get an event to fire whenever a choice is made from a JComboBox.The problem I'm having is that there is no obvious addSelectionListener() method.I've tried to use actionPerformed(), but it never fires.Short of overriding the model for the JComboBox, I'm out of ideas.How do I get notified of a selection change on a JComboBox?**Edit: I have to apologize. It turns out I was using a misbehaving subclass of JComboBox, but I'll leave the question up since your answer is good.",[],<java><swing><jcombobox><itemlistener>,58963,"It should respond to [ActionListeners](""http://docs.oracle.com/javase/7/docs/api/java/awt/event/ActionListener.html""), like this:--CODE--@John Calsbeek rightly points out that addItemListener() will work, too.  You may get 2 ItemEvents, though, one for the deselection of the previously selected item, and another for the selection of the new item. Just don't use both event types!","[""combo.addActionListener (new ActionListener () {    public void actionPerformed(ActionEvent e) {        doSomething();    }});""]",Graphical User Interfaces,"{""The Swing event model"": 2.4, ""A selection of Swing components"": 0.8}"
68633,68669,Regex that Will Match a Java Method Declaration,"I need a Regex that will match a java method declaration. I have come up with one that will match a method declaration, but it requires the opening bracket of the method to be on the same line as the declaration. If you have any suggestions to improve my regex or simply have a better one then please submit an answer.Here is my regex: ""\w+ +\w+ *\(.*\) *\{""For those who do not know what a java method looks like I'll provide a basic one:--CODE--There are several optional parts to java methods that may be added as well but those are the only parts that a method is guaranteed to have.Update:My current Regex is ""\w+ +\w+ *\([^\)]*\) *\{"" so as to prevent the situation that Mike and adkom described.","[""int foo(){}""]",<java><regex><methods>,68669,"Have you considered matching the actual possible keywords?  such as:--CODE--It might be a bit more likely to match correctly, though it might also make the regex harder to read...","[""(?:(?:public)|(?:private)|(?:static)|(?:protected)\\s+)*""]",Strings,"{""Regular expressions"": 3.0}"
73000,93914,Modal dialogs in IE gets hidden behind IE if user clicks on IE pane,"I have to write an applet that brings up a password dialog. The problem is that dialog is set to be always on top but when user clicks on IE window dialog gets hidden behind IE window nevertheless. And since dialog is modal and holds all IE threads IE pane does not refresh and dialog window is still painted on top of IE (but not refreshed). This behaviour confuses users (they see dialog on top of IE but it looks like it has hanged since it is not refreshe). So I need a way to keep that dialog on top of everything. But any other solution to this problem would be nice. Here's the code:--CODE--Resolution: As @shemnon noted I should make a window instead of (null, Frame, Applet) parent of modal dialog. So good way to initlialize parent was: --CODE--","[""        PassDialog dialog = new PassDialog(parent);        /* do some non gui related initialization */        dialog.pack();        dialog.setLocationRelativeTo(null);        dialog.setAlwaysOnTop(true);        dialog.setVisible(true);"", ""parent = javax.swing.SwingUtilities.getWindowAncestor(theApplet);""]",<java><internet-explorer><swing><applet><modal-dialog>,93914,What argument are you using for the parent?You may have better luck if you use the parent of the Applet.--CODE--Using the getWindowAncestor will skip the applet parents (getRoot(component) will return applets).  In at least some versions of Java there was a Frame that was equivalent to the IE window.  YMMV.,"[""javax.swing.SwingUtilities.getWindowAncestor(theApplet)""]",Graphical User Interfaces,"{""Applets"": 0.5, ""A selection of Swing components"": 2.3, ""The Swing event model"": 2.15}"
81786,81803,Can I add new methods to the String class in Java?,"I'd like to add a method AddDefaultNamespace() to the String class in Java so that I can type ""myString"".AddDefaultNamespace() instead of DEFAULTNAMESPACE + ""myString"", to obtain something like ""MyDefaultNameSpace.myString"". I don't want to add another derived class either (PrefixedString for example).Maybe the approach is not good for you but I personally hate using +. But, anyway, is it possible to add new methods to the String class in Java?Thanks and regards.",[],<java><string>,81803,String is a final class which means it cannot be extended to work on your own implementation.,[],Strings,"{""Operations on Strings"": 0.8999999999999999, ""Immutable Strings"": 0.4}"
584234,584261,Problem with threads,"*I'm using Java.I have this thread, agent, that explores a room to determine its size and clean it if it's dirty. Then I have the interface, which draws the agent as it explores the environment. Agent is subclassed from Thread, and Java takes care of managing the threads. All I do is create the thread and say object.start().This works very well under normal circustances. However, the menus are enabled during this time, and that means the user can mess with the room while the agent is exploring it. That shouldn't happen.So, once the user clicks the option that tells the agent to clean the room, I'd like to disable all the menus. Except this isn't working as it should. Here's the problem:--CODE--The problem is that the menus are enabled before the agent thread executes its function. I thought about using Thread.join() - that would garantee that the code to enable the menus is only executed after the agent thread ends. But, if I use Thread.join() the interface doesn't update itself while the agent is moving, because it's waiting for the agent to finish!I've thought about disabling the interface from the agent and then enabling it once the agent is done, but I'm not sure that would work and the biggest problem here is that the agent shouldn't be messing around with the menus.So, to sum it up, I need a thread executing to update the interface/draw the agent moving, but that thread cannot be the same that enables the menu. It seems currently there is one thread doing both. Assuming that's possible and not too complicated.","[""...public void ActionPerformed(ActionEvent e){    //disable the menus with setEnabled(false);    agent.start();    //enable the menus with setEnabled(true);}""]",<java><multithreading><user-interface>,584261,"  I've thought about disabling the  interface from the agent and then  enabling it once the agent is done,  but I'm not sure that would work and  the biggest problem here is that the  agent shouldn't be messing around with  the menus.You could make the agent call a method in the GUI class that re-enables the menus, when it is done. The method would, of course, call the appropriate Swing methods on the EDT.--CODE--If multiple agents can run concurrently, you'll need to check if all of them are done, before re-enabling the menu.","[""class Agent extends Thread{    @override    public void run()    {       // run around the room       // finally done       gui.agentIsDone();    }}class GUI extends JFrame{    ...    void agentIsDone()    {        SwingUtilities.invokeLater(new Runnable()        {            @override             public void run()            {                menus.setEnabled(true);            }        });    } }""]",Concurrency,"{""Basic threading"": 2.45}"
85548,85589,"How to make Swing scroll with ""ensureIndexIsVisible""?",When I run this code the selected item is not visible.  I've already tried to run it in a separate thread with no luck.--CODE--,"[""import javax.swing.JFrame;import java.awt.Container;import javax.swing.JList;import javax.swing.ListSelectionModel;import javax.swing.JScrollPane;import java.awt.Dimension;public class ScrollList extends JFrame {    int defaultValue;    ScrollList() {        Container cp = getContentPane();        JList list = createList();        defaultValue = 20;        cp.add(createScrollPane(list));        pack();        setVisible(true);        list.ensureIndexIsVisible(defaultValue);    }    JList createList() {        Integer[] model = new Integer[73];        JList list = new JList(model);        for (int i = 1; i < model.length; i++)            model[i] = i;        list.setSelectedIndex(defaultValue);        return list;    }    JScrollPane createScrollPane(JList list) {        JScrollPane s = new JScrollPane(createList());        s.setVerticalScrollBarPolicy(JScrollPane.VERTICAL_SCROLLBAR_ALWAYS);        s.setPreferredSize(new Dimension(100, 200));        return s;    }    public static void main(String[] args) {        new ScrollList();    }}""]",<java><swing>,85589,"I figured it out!!This is the code:--CODE--Instead of using the list that you passed into the createScrollPane() method, you create a new one.","[""import javax.swing.JFrame;import java.awt.Container;import javax.swing.JList;import javax.swing.ListSelectionModel;import javax.swing.JScrollPane;import java.awt.Dimension;public class ScrollList extends JFrame {    final int defaultValue = 20;    ScrollList() {        setDefaultCloseOperation(DISPOSE_ON_CLOSE);        Container cp = getContentPane();        JList list = createList();        cp.add(createScrollPane(list));        pack();        list.ensureIndexIsVisible(list.getSelectedIndex());        setVisible(true);    }    JList createList() {        Integer[] model = new Integer[73];        JList list = new JList(model);        for (int i = 1; i < model.length; i++)            model[i] = i;        list.setSelectedIndex(defaultValue);        return list;    }    JScrollPane createScrollPane(JList list) {        JScrollPane s = new JScrollPane(list); // MAJOR FIX HERE!        s.setVerticalScrollBarPolicy(JScrollPane.VERTICAL_SCROLLBAR_ALWAYS);        s.setPreferredSize(new Dimension(100, 200));        return s;    }    public static void main(String[] args) {        new ScrollList();    }}""]",Graphical User Interfaces,"{""A selection of Swing components"": 2.5, ""The Swing event model"": 1.5499999999999998, ""Capturing an event"": 0.7}"
