["Collections", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]	["Collections", "Objects and Classes", "Exceptions, Assertions, and Logging"]
["User Interface Components with Swing", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]	["User Interface Components with Swing", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]
["Generic Programming", "Inheritance", "Fundamental Programming Structures in Java"]	["Generic Programming", "Exceptions, Assertions, and Logging", "Collections"]
["Concurrency", "Interfaces, Lambda Expressions, and Inner Classes", "Objects and Classes"]	["Concurrency", "Interfaces, Lambda Expressions, and Inner Classes", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Collections", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Collections", "Graphical User Interface Programming"]
["Collections", "Inheritance", "Fundamental Programming Structures in Java"]	["Collections", "Inheritance", "Interfaces, Lambda Expressions, and Inner Classes"]
["Fundamental Programming Structures in Java", "Inheritance", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Inheritance", "User Interface Components with Swing"]
["Collections", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["Collections", "Graphical User Interface Programming", "Interfaces, Lambda Expressions, and Inner Classes"]
["Objects and Classes", "Graphical User Interface Programming", "Collections"]	["Objects and Classes", "Concurrency", "Graphical User Interface Programming"]
["User Interface Components with Swing", "Exceptions, Assertions, and Logging", "Graphical User Interface Programming"]	["Graphical User Interface Programming", "User Interface Components with Swing", "Objects and Classes"]
["Concurrency", "Objects and Classes", "Exceptions, Assertions, and Logging"]	["Collections", "Objects and Classes", "Concurrency"]
["Collections", "Generic Programming", "Inheritance"]	["Generic Programming", "Inheritance", "Collections"]
["Concurrency", "Interfaces, Lambda Expressions, and Inner Classes", "Exceptions, Assertions, and Logging"]	["Concurrency", "Interfaces, Lambda Expressions, and Inner Classes", "Objects and Classes"]
["Concurrency", "Fundamental Programming Structures in Java", "Objects and Classes"]	["Objects and Classes", "Concurrency", "Fundamental Programming Structures in Java"]
["Objects and Classes", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]	["Graphical User Interface Programming", "Exceptions, Assertions, and Logging", "Collections"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Fundamental Programming Structures in Java", "Inheritance", "Concurrency"]
["Objects and Classes", "Generic Programming", "Fundamental Programming Structures in Java"]	["Generic Programming", "Objects and Classes", "Collections"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]	["Collections", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]
["User Interface Components with Swing", "Fundamental Programming Structures in Java", "Collections"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Objects and Classes"]
["Collections", "Fundamental Programming Structures in Java", "Inheritance"]	["Collections", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes", "Fundamental Programming Structures in Java"]	["Interfaces, Lambda Expressions, and Inner Classes", "Objects and Classes", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]
["Interfaces, Lambda Expressions, and Inner Classes", "Objects and Classes", "Collections"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Exceptions, Assertions, and Logging"]
["User Interface Components with Swing", "Collections", "Graphical User Interface Programming"]	["User Interface Components with Swing", "Collections", "Graphical User Interface Programming"]
["Exceptions, Assertions, and Logging", "Concurrency", "Interfaces, Lambda Expressions, and Inner Classes"]	["Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes", "Concurrency"]
["Exceptions, Assertions, and Logging", "Collections", "Fundamental Programming Structures in Java"]	["User Interface Components with Swing", "Fundamental Programming Structures in Java", "Objects and Classes"]
["Fundamental Programming Structures in Java", "User Interface Components with Swing", "Graphical User Interface Programming"]	["User Interface Components with Swing", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["Inheritance", "Generic Programming", "Fundamental Programming Structures in Java"]	["Collections", "Generic Programming", "Inheritance"]
["Graphical User Interface Programming", "Interfaces, Lambda Expressions, and Inner Classes", "Collections"]	["User Interface Components with Swing", "Collections", "Graphical User Interface Programming"]
["Graphical User Interface Programming", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]	["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Inheritance", "Graphical User Interface Programming"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Collections", "Exceptions, Assertions, and Logging", "Graphical User Interface Programming"]	["Inheritance", "Generic Programming", "Collections"]
["Collections", "Objects and Classes", "Fundamental Programming Structures in Java"]	["Collections", "User Interface Components with Swing", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Exceptions, Assertions, and Logging"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Exceptions, Assertions, and Logging", "Concurrency", "Objects and Classes"]	["User Interface Components with Swing", "Exceptions, Assertions, and Logging", "Graphical User Interface Programming"]
["User Interface Components with Swing", "Interfaces, Lambda Expressions, and Inner Classes", "Collections"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]
["Collections", "Fundamental Programming Structures in Java", "Generic Programming"]	["Collections", "Generic Programming", "Inheritance"]
["Fundamental Programming Structures in Java", "Inheritance", "Exceptions, Assertions, and Logging"]	["Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java", "Collections"]
["Interfaces, Lambda Expressions, and Inner Classes", "Objects and Classes", "Collections"]	["Collections", "Inheritance", "Generic Programming"]
["Exceptions, Assertions, and Logging", "Graphical User Interface Programming", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "Exceptions, Assertions, and Logging"]
["Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes", "Collections"]	["Objects and Classes", "Graphical User Interface Programming", "Collections"]
["User Interface Components with Swing", "Concurrency", "Collections"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Concurrency"]
["Fundamental Programming Structures in Java", "Inheritance", "Concurrency"]	["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]
["Graphical User Interface Programming", "User Interface Components with Swing", "Inheritance"]	["Exceptions, Assertions, and Logging", "Objects and Classes", "Graphical User Interface Programming"]
["Collections", "Inheritance", "Generic Programming"]	["Collections", "Inheritance", "Generic Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Inheritance", "User Interface Components with Swing"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]
["Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes", "Fundamental Programming Structures in Java"]	["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]
["Collections", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]	["Collections", "Inheritance", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Collections", "Graphical User Interface Programming"]	["Collections", "Fundamental Programming Structures in Java", "Concurrency"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Objects and Classes"]	["Collections", "Graphical User Interface Programming", "User Interface Components with Swing"]
["Graphical User Interface Programming", "Concurrency", "Interfaces, Lambda Expressions, and Inner Classes"]	["Collections", "Graphical User Interface Programming", "Inheritance"]
["Graphical User Interface Programming", "Fundamental Programming Structures in Java", "User Interface Components with Swing"]	["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "Exceptions, Assertions, and Logging"]
["Generic Programming", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]	["Generic Programming", "Collections", "Objects and Classes"]
["Collections", "Inheritance", "Generic Programming"]	["Fundamental Programming Structures in Java", "Generic Programming", "Collections"]
["Graphical User Interface Programming", "Objects and Classes", "Collections"]	["Objects and Classes", "Collections", "Inheritance"]
["Objects and Classes", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["Objects and Classes", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["Collections", "Inheritance", "Objects and Classes"]	["Objects and Classes", "Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes"]
["Objects and Classes", "Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes"]	["Collections", "Objects and Classes", "Fundamental Programming Structures in Java"]
["Concurrency", "Exceptions, Assertions, and Logging", "Objects and Classes"]	["Concurrency", "Fundamental Programming Structures in Java", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Collections", "Exceptions, Assertions, and Logging"]	["Fundamental Programming Structures in Java", "User Interface Components with Swing", "Exceptions, Assertions, and Logging"]
["User Interface Components with Swing", "Fundamental Programming Structures in Java", "Collections"]	["Collections", "Fundamental Programming Structures in Java", "User Interface Components with Swing"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "Inheritance", "Concurrency"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Interfaces, Lambda Expressions, and Inner Classes", "Objects and Classes", "Inheritance"]	["Collections", "Inheritance", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]
["Concurrency", "Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes"]	["Concurrency", "Interfaces, Lambda Expressions, and Inner Classes", "Objects and Classes"]
["Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes", "Graphical User Interface Programming"]	["Concurrency", "Objects and Classes", "Exceptions, Assertions, and Logging"]
["Inheritance", "Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes"]	["Collections", "Objects and Classes", "Graphical User Interface Programming"]
["Objects and Classes", "Graphical User Interface Programming", "Inheritance"]	["Collections", "Objects and Classes", "Graphical User Interface Programming"]
["Exceptions, Assertions, and Logging", "Graphical User Interface Programming", "User Interface Components with Swing"]	["Objects and Classes", "Generic Programming", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "User Interface Components with Swing", "Inheritance"]	["Fundamental Programming Structures in Java", "Inheritance", "User Interface Components with Swing"]
["Inheritance", "Fundamental Programming Structures in Java", "Collections"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Collections"]
["Collections", "Generic Programming", "Objects and Classes"]	["Generic Programming", "Inheritance", "Collections"]
["Concurrency", "Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java"]	["Concurrency", "Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "Inheritance"]	["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]
["Collections", "Fundamental Programming Structures in Java", "Objects and Classes"]	["Objects and Classes", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]	["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]
["Collections", "Inheritance", "Generic Programming"]	["Collections", "Inheritance", "Generic Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Fundamental Programming Structures in Java", "Inheritance", "Exceptions, Assertions, and Logging"]
["Objects and Classes", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]	["Graphical User Interface Programming", "Exceptions, Assertions, and Logging", "Collections"]
["Exceptions, Assertions, and Logging", "Concurrency", "Interfaces, Lambda Expressions, and Inner Classes"]	["Collections", "Concurrency", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "Concurrency", "Collections"]	["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "Inheritance"]
["Collections", "Interfaces, Lambda Expressions, and Inner Classes", "Graphical User Interface Programming"]	["Collections", "Interfaces, Lambda Expressions, and Inner Classes", "Objects and Classes"]
["Objects and Classes", "Collections", "Inheritance"]	["Collections", "Inheritance", "Generic Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Exceptions, Assertions, and Logging"]	["Concurrency", "Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java"]
["User Interface Components with Swing", "Interfaces, Lambda Expressions, and Inner Classes", "Exceptions, Assertions, and Logging"]	["Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes", "Exceptions, Assertions, and Logging"]
["Concurrency", "Exceptions, Assertions, and Logging", "Objects and Classes"]	["Collections", "Concurrency", "Exceptions, Assertions, and Logging"]
["Inheritance", "Fundamental Programming Structures in Java", "Collections"]	["Fundamental Programming Structures in Java", "Collections", "Inheritance"]
["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]	["Fundamental Programming Structures in Java", "Collections", "Inheritance"]
["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "Exceptions, Assertions, and Logging"]	["Fundamental Programming Structures in Java", "Collections", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]	["Fundamental Programming Structures in Java", "Inheritance", "Concurrency"]
["Interfaces, Lambda Expressions, and Inner Classes", "Concurrency", "Objects and Classes"]	["Interfaces, Lambda Expressions, and Inner Classes", "Objects and Classes", "Concurrency"]
["Objects and Classes", "Fundamental Programming Structures in Java", "Collections"]	["Objects and Classes", "Fundamental Programming Structures in Java", "User Interface Components with Swing"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Collections", "Inheritance", "Fundamental Programming Structures in Java"]
["Interfaces, Lambda Expressions, and Inner Classes", "Collections", "Objects and Classes"]	["Concurrency", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]
["Collections", "Concurrency", "Exceptions, Assertions, and Logging"]	["Collections", "Concurrency", "Graphical User Interface Programming"]
["Exceptions, Assertions, and Logging", "Concurrency", "Fundamental Programming Structures in Java"]	["Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java", "Concurrency"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Collections"]
["Interfaces, Lambda Expressions, and Inner Classes", "Fundamental Programming Structures in Java", "Objects and Classes"]	["Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes", "Fundamental Programming Structures in Java"]
["Collections", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["Collections", "Graphical User Interface Programming", "Inheritance"]
["Collections", "Fundamental Programming Structures in Java", "Generic Programming"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "User Interface Components with Swing"]	["User Interface Components with Swing", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["Concurrency", "Exceptions, Assertions, and Logging", "Collections"]	["Concurrency", "Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]	["Collections", "Graphical User Interface Programming", "Objects and Classes"]
["Exceptions, Assertions, and Logging", "Concurrency", "Objects and Classes"]	["Concurrency", "Exceptions, Assertions, and Logging", "Objects and Classes"]
["Graphical User Interface Programming", "User Interface Components with Swing", "Objects and Classes"]	["Collections", "Graphical User Interface Programming", "User Interface Components with Swing"]
["Collections", "Fundamental Programming Structures in Java", "Inheritance"]	["Fundamental Programming Structures in Java", "Concurrency", "Exceptions, Assertions, and Logging"]
["Collections", "Inheritance", "Fundamental Programming Structures in Java"]	["Collections", "Inheritance", "Fundamental Programming Structures in Java"]
["Collections", "Inheritance", "Fundamental Programming Structures in Java"]	["Collections", "Inheritance", "Generic Programming"]
["Concurrency", "Exceptions, Assertions, and Logging", "Collections"]	["Concurrency", "Exceptions, Assertions, and Logging", "Collections"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Interfaces, Lambda Expressions, and Inner Classes"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Objects and Classes"]
["Collections", "Fundamental Programming Structures in Java", "Objects and Classes"]	["Collections", "Generic Programming", "Fundamental Programming Structures in Java"]
["Concurrency", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["Concurrency", "Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes", "Collections"]	["Fundamental Programming Structures in Java", "Collections", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "Collections", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "Inheritance"]
["Exceptions, Assertions, and Logging", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]	["Exceptions, Assertions, and Logging", "User Interface Components with Swing", "Objects and Classes"]
["Concurrency", "Graphical User Interface Programming", "Objects and Classes"]	["Exceptions, Assertions, and Logging", "Concurrency", "Objects and Classes"]
["User Interface Components with Swing", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]	["User Interface Components with Swing", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["Collections", "Concurrency", "Exceptions, Assertions, and Logging"]	["Concurrency", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]
["Concurrency", "Fundamental Programming Structures in Java", "Collections"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Concurrency"]
["Concurrency", "Interfaces, Lambda Expressions, and Inner Classes", "Exceptions, Assertions, and Logging"]	["Concurrency", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]
["Fundamental Programming Structures in Java", "Concurrency", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Concurrency"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]
["Inheritance", "Collections", "Generic Programming"]	["Collections", "Generic Programming", "Inheritance"]
["Concurrency", "Collections", "User Interface Components with Swing"]	["Collections", "Interfaces, Lambda Expressions, and Inner Classes", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Collections", "Fundamental Programming Structures in Java", "Concurrency"]
["Collections", "Inheritance", "Generic Programming"]	["Collections", "Inheritance", "Generic Programming"]
["Collections", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["Objects and Classes", "Collections", "Interfaces, Lambda Expressions, and Inner Classes"]
["Concurrency", "Objects and Classes", "Exceptions, Assertions, and Logging"]	["Objects and Classes", "Collections", "Concurrency"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]
["Collections", "Fundamental Programming Structures in Java", "Objects and Classes"]	["Concurrency", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]
["Collections", "Inheritance", "Fundamental Programming Structures in Java"]	["Collections", "Inheritance", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Concurrency", "Objects and Classes"]	["User Interface Components with Swing", "Fundamental Programming Structures in Java", "Objects and Classes"]
["Collections", "Generic Programming", "Objects and Classes"]	["Collections", "Generic Programming", "Graphical User Interface Programming"]
["Exceptions, Assertions, and Logging", "Concurrency", "User Interface Components with Swing"]	["Graphical User Interface Programming", "User Interface Components with Swing", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Concurrency"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Graphical User Interface Programming"]
["Exceptions, Assertions, and Logging", "Collections", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Concurrency"]
["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "Concurrency"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Graphical User Interface Programming"]
["Collections", "Graphical User Interface Programming", "Concurrency"]	["Collections", "Graphical User Interface Programming", "Inheritance"]
["Collections", "Exceptions, Assertions, and Logging", "Objects and Classes"]	["Collections", "Concurrency", "Exceptions, Assertions, and Logging"]
