382,384,What is the meaning of the type safety warning in certain Java generics casts?,"What is the meaning of the Java warning?  Type safety: The cast from Object to List is actually checking against the erased type ListI get this warning when I try to cast an Object to a type with generic information, such as in the following code:--CODE--","[""Object object = getMyList();List<Integer> list = (List<Integer>) object;""]",<java><generics><warnings><casting><type-safety>,384,"This warning is there because Java is not actually storing type information at run-time in an object that uses generics.  Thus, if object is actually a List, there will be no ClassCastException at run-time except until an item is accessed from the list that doesn't match the generic type defined in the variable.  This can cause further complications if items are added to the list, with this incorrect generic type information.  Any code still holding a reference to the list but with the correct generic type information will now have an inconsistent list.  To remove the warning, try:--CODE--However, note that you will not be able to use certain methods such as add because the compiler doesn't know if you are trying to add an object of incorrect type.  The above will work in a lot of situations, but if you have to use add, or some similarly restricted method, you will just have to suffer the yellow underline in Eclipse (or a SuppressWarning annotation).","[""List<?> list = (List<?>) object;""]",Generic Programming,"{""Restrictions and Limitations"": 1.35, ""Defining a Simple Generic Class"": 0.3, ""Generic Code and the Virtual Machine"": 0.7}"
32529,32549,How do I restrict JFileChooser to a directory?,"I want to limit my users to a directory and its sub directories but the ""Parent Directory"" button allows them to browse to an arbitrary directory.How should I go about doing that?",[],<java><swing><jfilechooser>,32549,"You can probably do this by setting your own [FileSystemView](""https://docs.oracle.com/javase/8/docs/api/javax/swing/filechooser/FileSystemView.html"").",[],User Interface Components with Swing,"{""Dialog Boxes"": 0.9}"
37089,37090,How can an application use multiple cores or CPUs in .NET or Java?,"When launching a thread or a process in .NET or Java, is there a way to choose which processor or core it is launched on? How does the shared memory model work in such cases?",[],<c#><java><multithreading>,37090,"If you're using multiple threads, the operating system will automatically take care of using multiple cores.",[],Concurrency,"{""Tasks and Thread Pools"": 0.8, ""Thread States"": 0.5}"
37551,,Multiple threads stuck in native calls (Java),"I have a problem with an application running on Fedora Core 6 with JDK 1.5.0_08.After some amount of uptime (usually some days) threads begin getting stuck in native methods.The threads are locked in something like this:--CODE--or--CODE--Especially puzzling to me is this one:--CODE--The threads remain stuck until the VM is restarted.Can anyone give me an idea as to what is happening here, what might be causing the native methods to block?The monitor entry address range at the top of each stuck thread is different. How can I figure out what is holding this monitor?Any suggestions or advice will be greatly appreciated!Thanks,David ","[""\""pool-2-thread-2571\"" prio=1 tid=0x08dd0b28 nid=0x319e waiting for monitor entry [0xb91fe000..0xb91ff7d4]at java.lang.Class.getDeclaredConstructors0(Native Method)"", ""\""pool-2-thread-2547\"" prio=1 tid=0x75641620 nid=0x1745 waiting for monitor entry [0xbc7fe000..0xbc7ff554]at sun.misc.Unsafe.defineClass(Native Method)"", ""\""HealthMonitor-10\"" daemon prio=1 tid=0x0868d1c0 nid=0x2b72 waiting for monitor entry [0xbe5ff000..0xbe5ff4d4]at java.lang.Thread.dumpThreads(Native Method)at java.lang.Thread.getStackTrace(Thread.java:1383)""]",<java><multithreading><native-methods><blocked>,152563,"My initial suspicion would be that you are experiencing some sort of class-loader realted dead lock. I imagine, that class loading needs to be synchronized at some level because class information will become available for the entire VM, not just the thread where it was initially loaded.The fact that the methods on top of the stack are native methods seems to be pure coincidence, since part of the class loading mechanism happens to implemented that way.I would investigate further what is going on class-loading wise. Maybe some thread uses the class loader to load a class from a network location which is slow/unavailable and thus blocks for a really long time, not yielding the monitor to other threads that want to load a class. Investigating the output when starting the JVM with -verbose:class might be one thing to try.",[],Concurrency,"{""Synchronization"": 1.65}"
39108,,Drawing animations at the show of a JDialog,"What would be the best way to draw a simple animation just before showing a modal [JDialog](""https://docs.oracle.com/javase/9/docs/api/javax/swing/JDialog.html"")? (i.e. expanding borders from the mouse click point to the dialog location). I thought it would be possible to draw on the glasspane of the parent frame on the setVisible method of the dialog.However, since the JDialog is modal to the parent, I couldn't find a way to pump drawing events into [EDT](""https://docs.oracle.com/javase/tutorial/uiswing/concurrency/dispatch.html"") before the JDialog becomes visible, since the current event on the EDT has not been completed yet.",[],<java><user-interface><swing><animation>,39868,"Are you trying to show the JDialog indepentently of the annimation? In order to get the order set properly, you may need to bundle those actions in a runnable that is passed to the EDT at once.eg:--CODE--It may be best to subclass JDialog so that you can just add the doAnnimation() logic to the setVisible(..) or show() method before calling the superclass implementation.  Finally, I imagine you'll need to set the dimensions of the dalog manually --  I don't remember if Java will know the actual size of the dialog before it is shown, so you may get some useless information for your annimation if you query the size before showing it.","[""SwingUtilities.invokeLater(new Runnable(){   public void run(){      doAnnimation();      showDialog();   }}""]",User Interface Components with Swing,"{""Dialog Boxes"": 1.7000000000000002}"
41107,41156,How to generate a random alpha-numeric string?,"I've been looking for a simple Java algorithm to generate a pseudo-random alpha-numeric string.  In my situation it would be used as a unique session/key identifier that would ""likely"" be unique over 500K+ generation (my needs don't really require anything much more sophisticated).  Ideally, I would be able to specify a length depending on my uniqueness needs. For example, a generated string of length 12 might look something like ""AEYGF7K0DM1X"".  ",[],<java><string><random><alphanumeric>,41156,"AlgorithmTo generate a random string, concatenate characters drawn randomly from the set of acceptable symbols until the string reaches the desired length.ImplementationHere's some fairly simple and very flexible code for generating random identifiers. Read the information that follows for important application notes.--CODE--Usage examplesCreate an insecure generator for 8-character identifiers:--CODE--Create a secure generator for session identifiers:--CODE--Create a generator with easy-to-read codes for printing. The strings are longer than full alphanumeric strings to compensate for using fewer symbols:--CODE--Use as session identifiersGenerating session identifiers that are likely to be unique is not good enough, or you could just use a simple counter. Attackers hijack sessions when predictable identifiers are used.There is tension between length and security. Shorter identifiers are easier to guess, because there are fewer possibilities. But longer identifiers consume more storage and bandwidth. A larger set of symbols helps, but might cause encoding problems if identifiers are included in URLs or re-entered by hand.The underlying source of randomness, or entropy, for session identifiers should come from a random number generator designed for cryptography. However, initializing these generators can sometimes be computationally expensive or slow, so effort should be made to re-use them when possible.Use as object identifiersNot every application requires security. Random assignment can be an efficient way for multiple entities to generate identifiers in a shared space without any coordination or partitioning. Coordination can be slow, especially in a clustered or distributed environment, and splitting up a space causes problems when entities end up with shares that are too small or too big.Identifiers generated without taking measures to make them unpredictable should be protected by other means if an attacker might be able to view and manipulate them, as happens in most web applications. There should be a separate authorization system that protects objects whose identifier can be guessed by an attacker without access permission.Care must be also be taken to use identifiers that are long enough to make collisions unlikely given the anticipated total number of identifiers. This is referred to as ""the birthday paradox."" [The probability of a collision,](""https://en.wikipedia.org/wiki/Birthday_problem#Square_approximation"") p, is approximately n2/(2qx), where n is the number of identifiers actually generated, q is the number of distinct symbols in the alphabet, and x is the length of the identifiers. This should be a very small number, like 2&#8209;50 or less.Working this out shows that the chance of collision among 500k 15-character identifiers is about 2&#8209;52, which is probably less likely than undetected errors from cosmic rays, etc.Comparison with UUIDsAccording to their specification, [UUIDs](""https://tools.ietf.org/html/rfc4122#section-6"") are not designed to be unpredictable, and should not be used as session identifiers.UUIDs in their standard format take a lot of space: 36 characters for only 122 bits of entropy. (Not all bits of a ""random"" UUID are selected randomly.) A randomly chosen alphanumeric string packs more entropy in just 21 characters.UUIDs are not flexible; they have a standardized structure and layout. This is their chief virtue as well as their main weakness. When collaborating with an outside party, the standardization offered by UUIDs may be helpful. For purely internal use, they can be inefficient.","[""public class RandomString {    /**     * Generate a random string.     */    public String nextString() {        for (int idx = 0; idx < buf.length; ++idx)            buf[idx] = symbols[random.nextInt(symbols.length)];        return new String(buf);    }    public static final String upper = \""ABCDEFGHIJKLMNOPQRSTUVWXYZ\"";    public static final String lower = upper.toLowerCase(Locale.ROOT);    public static final String digits = \""0123456789\"";    public static final String alphanum = upper + lower + digits;    private final Random random;    private final char[] symbols;    private final char[] buf;    public RandomString(int length, Random random, String symbols) {        if (length < 1) throw new IllegalArgumentException();        if (symbols.length() < 2) throw new IllegalArgumentException();        this.random = Objects.requireNonNull(random);        this.symbols = symbols.toCharArray();        this.buf = new char[length];    }    /**     * Create an alphanumeric string generator.     */    public RandomString(int length, Random random) {        this(length, random, alphanum);    }    /**     * Create an alphanumeric strings from a secure generator.     */    public RandomString(int length) {        this(length, new SecureRandom());    }    /**     * Create session identifiers.     */    public RandomString() {        this(21);    }}"", ""RandomString gen = new RandomString(8, ThreadLocalRandom.current());"", ""RandomString session = new RandomString();"", ""String easy = RandomString.digits + \""ACEFGHJKLMNPQRUVWXYabcdefhijkprstuvwx\"";RandomString tickets = new RandomString(23, new SecureRandom(), easy);""]",Fundamental Programming Structures in Java,"{""Strings"": 1.35}"
45075,45248,Java: Flash a window to grab user's attention,Is there a better way to flash a window in Java than this:--CODE--I know that this code is scary...But it works alright. (I should implement a loop...),"[""public static void flashWindow(JFrame frame) throws InterruptedException {        int sleepTime = 50;        frame.setVisible(false);        Thread.sleep(sleepTime);        frame.setVisible(true);        Thread.sleep(sleepTime);        frame.setVisible(false);        Thread.sleep(sleepTime);        frame.setVisible(true);        Thread.sleep(sleepTime);        frame.setVisible(false);        Thread.sleep(sleepTime);        frame.setVisible(true);}""]",<java><user-interface>,45248,"There are two common ways to do this: use JNI to set urgency hints on the taskbar's window, and create a notification icon/message. I prefer the second way, since it's cross-platform and less annoying.See [documentation on the TrayIcon class](""http://java.sun.com/javase/6/docs/api/java/awt/TrayIcon.html""), particularly the [displayMessage()](""http://java.sun.com/javase/6/docs/api/java/awt/TrayIcon.html#displayMessage(java.lang.String,%20java.lang.String,%20java.awt.TrayIcon.MessageType)"") method.The following links may be of interest:[New System Tray Functionality in Java SE 6](""http://java.sun.com/developer/technicalArticles/J2SE/Desktop/javase6/systemtray/"")[Java Programming - Iconified window blinking](""http://forums.sun.com/thread.jspa?threadID=5130669&amp;messageID=9469354"")[TrayIcon for earlier versions of Java](""https://jdic.dev.java.net/documentation/incubator/tray/"")",[],Graphical User Interface Programming,"{""Displaying Frames"": 1.4, ""Event Handling"": 1.2}"
46160,,Getting an int representation of a String,"I am looking for a way to create an int\long representation of an arbitrary alpha-numeric String. Hash codes won't do it, because I can't afford hash collisions i.e. the representation must be unique and repeatable. The numeric representation will be used to perform efficient (hopefully) compares. The creation of the numeric key will take some time, but it only has to happen once, whereas I need to perform vast numbers of comparisons with it - which will hopefully be much faster than comparing the raw Strings.Any other idea's on faster String comparison will be most appreciated too...",[],<java><performance><string>,46216,"Unless your string is limited in length, you can't avoid collisions. There are 4294967296 possible values for an integer (2^32). If you have a string of more than 4 ASCII characters, or more than two unicode characters, then there are more possible string values than possible integer values. You can't have a unique integer value for every possible 5 character string. Long values have more possible values, but they would only provide a unique value for every possible string of 8 ASCII characters.Hash codes are useful as a two step process: first see if the hash code matches, then check the whole string. For most strings that don't match, you only need to do the first step, and it's really fast.",[],Fundamental Programming Structures in Java,"{""Strings"": 1.5}"
47045,47049,Sprintf equivalent in Java,Printf got added to Java with the 1.5 release but I can't seem to find how to send the output to a string rather than a file (which is what sprintf does in C). Does anyone know how to do this? ,[],<java><string><formatting>,47049,"--CODE--See [format](""http://docs.oracle.com/javase/7/docs/api/java/lang/String.html#format(java.lang.String,%20java.lang.Object...)"") and its [syntax](""http://docs.oracle.com/javase/7/docs/api/java/util/Formatter.html#syntax"")","[""// Store the formatted string in 'result'String result = String.format(\""%4d\"", i * j);// Write the result to standard outputSystem.out.println( result );""]",Fundamental Programming Structures in Java,"{""Strings"": 1.7000000000000002, ""Input and Output"": 0.85}"
47605,47628,"String concatenation: concat() vs ""+"" operator","Assuming String a and b:--CODE--Under the hood, are they the same thing?Here is concat decompiled as reference. I'd like to be able to decompile the + operator as well to see what that does.--CODE--","[""a += ba = a.concat(b)"", ""public String concat(String s) {    int i = s.length();    if (i == 0) {        return this;    }    else {        char ac[] = new char[count + i];        getChars(0, count, ac, 0);        s.getChars(0, i, ac, count);        return new String(0, count + i, ac);    }}""]",<java><string><concatenation>,47628,"No, not quite.Firstly, there's a slight difference in semantics. If a is null, then a.concat(b) throws a NullPointerException but a+=b will treat the original value of a as if it were null. Furthermore, the concat() method only accepts String values while the + operator will silently convert the argument to a String (using the toString() method for objects). So the concat() method is more strict in what it accepts.To look under the hood, write a simple class with a += b;--CODE--Now disassemble with javap -c (included in the Sun JDK). You should see a listing including:--CODE--So, a += b is the equivalent of--CODE--The concat method should be faster. However, with more strings the StringBuilder method wins, at least in terms of performance.The source code of String and StringBuilder (and its package-private base class) is available in src.zip of the Sun JDK. You can see that you are building up a char array (resizing as necessary) and then throwing it away when you create the final String. In practice memory allocation is surprisingly fast.Update: As Pawel Adamski notes, performance has changed in more recent HotSpot. javac still produces exactly the same code, but the bytecode compiler cheats. Simple testing entirely fails because the entire body of code is thrown away. Summing System.identityHashCode (not String.hashCode) shows the StringBuffer code has a slight advantage. Subject to change when the next update is released, or if you use a different JVM. From [@lukaseder](""https://twitter.com/lukaseder""), [a list of HotSpot JVM intrinsics](""https://gist.github.com/apangin/7a9b7062a4bd0cd41fcc"").","[""public class Concat {    String cat(String a, String b) {        a += b;        return a;    }}"", ""java.lang.String cat(java.lang.String, java.lang.String);  Code:   0:   new     #2; //class java/lang/StringBuilder   3:   dup   4:   invokespecial   #3; //Method java/lang/StringBuilder.\""<init>\"":()V   7:   aload_1   8:   invokevirtual   #4; //Method java/lang/StringBuilder.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;   11:  aload_2   12:  invokevirtual   #4; //Method java/lang/StringBuilder.append:(Ljava/lang/String;)Ljava/lang/StringBuilder;   15:  invokevirtual   #5; //Method java/lang/StringBuilder.toString:()Ljava/lang/    String;   18:  astore_1   19:  aload_1   20:  areturn"", ""a = new StringBuilder()    .append(a)    .append(b)    .toString();""]",Fundamental Programming Structures in Java,"{""Strings"": 1.8, ""Operators"": 0.8}"
50561,50573,Programmatically determine which Java thread holds a lock,Is it possible at runtime to programmatically check the name of the Thread that is holding the lock of a given object?,[],<java><multithreading><concurrency>,50573,"You can only tell whether the current thread holds a normal lock ([Thread.holdsLock(Object)](""http://docs.oracle.com/javase/7/docs/api/java/lang/Thread.html#holdsLock%28java.lang.Object%29"")). You can't get a reference to the thread that has the lock without native code.However, if you're doing anything complicated with threading, you probably want to familiarize yourself with the java.util.concurrent packages. The [ReentrantLock](""http://docs.oracle.com/javase/7/docs/api/java/util/concurrent/locks/ReentrantLock.html"") does allow you to get its owner (but its a protected method, so you'd have to extend this). Depending on your application, it may well be that by using the concurrency packages, you'll find that you don't need to get the lock's owner after all.There are non-programmatic methods to find the lock owners, such as signaling the JVM to issue a thread dump to stderr, that are useful to determine the cause of deadlocks.",[],Concurrency,"{""Synchronization"": 1.7000000000000002}"
54567,54799,How do I get InputVerifier to work with an editable JComboBox,I've got an JComboBox with a custom inputVerifyer set to limit MaxLength when it's set to editable.The verify method never seems to get called.The same verifyer gets invoked on a JTextField fine.What might I be doing wrong?,[],<java><swing><jcombobox>,54799,"I found a workaround. I thought I'd let the next person with this problem know about. Basically. Instead of setting the inputVerifier on the ComboBox you set it to it's ""Editor Component"". --CODE--","[""JComboBox combo = new JComboBox();JTextField tf = (JTextField)(combo.getEditor().getEditorComponent());tf.setInputVerifier(verifyer);""]",User Interface Components with Swing,"{""Choice Components"": 1.7000000000000002}"
54926,54927,Make a JPanel not draw its background (Transparent),"Is it possible, in Java, to make a JPanel skip drawing its background thus being transparent except for the components on it?",[],<java><user-interface>,54927,"setOpaque(false)It'll pass off painting the background to its parent, which may draw its own background.You can do a screen capture and then use that to paint the background of the panel.",[],Graphical User Interface Programming,"{""Displaying Information in a Component"": 1.55}"
